LOCATION,YEAR,BRAND,MODEL,VARIANT,KM_DRIVEN,FUEL,NO_OF_OWNERS,PRICE
New Delhi,2019,Toyota,Innova Crysta 2.4 VX 7 STR,Manual,"31,235 km",Diesel,1st Owner,"₹18,00,000"
New Delhi,2015,Mahindra,TUV300 T8 AT,Automatic,"65,766 km",Diesel,1st Owner,"₹5,16,000"
New Delhi,2015,Maruti,Ertiga ZDI,Manual,"65,754 km",Diesel,1st Owner,"₹5,99,000"
New Delhi,2019,Renault,TRIBER 1.0 RXT,,"48,151 km",Petrol,1st Owner,"₹4,99,000"
New Delhi,2018,Maruti,Vitara Brezza VDI AMT,Manual,"28,944 km",Diesel,1st Owner,"₹8,15,000"
New Delhi,2016,Toyota,Innova Crysta 2.4 ZX 7 STR,Manual,"16,070 km",Diesel,1st Owner,"₹16,55,000"
New Delhi,2015,Hyundai,Creta 1.6 S,Manual,"55,668 km",Petrol,1st Owner,"₹8,00,000"
New Delhi,2017,Ford,Ecosport 1.5 TITANIUM TI VCT AT,Automatic,"35,515 km",Petrol,1st Owner,"₹7,60,000"
New Delhi,2017,Hyundai,Creta 1.4 E PLUS CRDI,Manual,"73,223 km",Diesel,1st Owner,"₹7,95,000"
New Delhi,2019,Ford,Ecosport 1.5 TREND TI VCT AT,Manual,"36,307 km",Petrol,1st Owner,"₹8,70,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"50,672 km",Diesel,1st Owner,"₹6,76,000"
New Delhi,2017,Maruti,Ertiga VDI SHVS,Manual,"46,994 km",Diesel,1st Owner,"₹7,07,000"
New Delhi,2015,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"55,340 km",Petrol,1st Owner,"₹5,50,000"
New Delhi,2014,Ford,Ecosport 1.5 TITANIUM TI VCT,Manual,"80,002 km",Petrol,1st Owner,"₹5,00,000"
New Delhi,2016,Maruti,S Cross SIGMA 1.3,Manual,"60,488 km",Diesel,1st Owner,"₹5,25,000"
New Delhi,2016,Maruti,Vitara Brezza LDI,Manual,"57,004 km",Diesel,2nd Owner,"₹6,50,000"
New Delhi,2016,Mahindra,Scorpio S6 PLUS,Manual,"73,732 km",Diesel,2nd Owner,"₹8,10,000"
New Delhi,2019,Maruti,Ertiga ZDI PLUS,Manual,"30,079 km",Diesel,1st Owner,"₹10,25,000"
New Delhi,2019,Honda,BR-V 1.5 i- DTEC S,Manual,"24,386 km",Diesel,1st Owner,"₹9,25,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"73,120 km",Diesel,1st Owner,"₹5,25,000"
New Delhi,2016,Mahindra,Scorpio S4PLUS,Manual,"55,875 km",Diesel,2nd Owner,"₹8,30,000"
New Delhi,2015,Toyota,Innova 2.5 G 7 STR BS III,,"62,420 km",Diesel,1st Owner,"₹8,20,000"
New Delhi,2016,Renault,Duster 85 PS RXE,Manual,"85,227 km",Diesel,1st Owner,"₹5,22,000"
New Delhi,2014,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"65,281 km",Diesel,2nd Owner,"₹5,20,000"
New Delhi,2013,Mahindra,Quanto C8,Manual,"1,09,884 km",Diesel,1st Owner,"₹2,47,600"
New Delhi,2013,Mahindra,XUV500 W8 FWD,Manual,"89,674 km",Diesel,2nd Owner,"₹5,20,000"
New Delhi,2019,Tata,NEXON XT+,Manual,"33,297 km",Diesel,1st Owner,"₹8,10,000"
New Delhi,2019,Mahindra,TUV300 T10 MT,Manual,"6,159 km",Diesel,1st Owner,"₹7,63,000"
New Delhi,2019,Mahindra,Scorpio S11,Manual,"7,881 km",Diesel,1st Owner,"₹17,25,000"
New Delhi,2019,Tata,NEXON XM 1.2,Manual,"11,664 km",Petrol,1st Owner,"₹7,30,000"
New Delhi,2017,Hyundai,Creta 1.6 SX PLUS AUTO PETROL,Automatic,"35,433 km",Petrol,1st Owner,"₹10,86,000"
New Delhi,2020,Mahindra,XUV 3OO 1.2 W6 MT,Manual,"5,006 km",Petrol,1st Owner,"₹8,92,000"
New Delhi,2013,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"59,984 km",Diesel,1st Owner,"₹4,15,000"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"19,776 km",Diesel,1st Owner,"₹8,25,000"
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"50,363 km",Diesel,1st Owner,"₹7,25,000"
New Delhi,2016,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"30,486 km",Petrol,1st Owner,"₹6,02,000"
New Delhi,2017,Toyota,Innova Crysta 2.4 ZX 7 STR,Manual,"30,187 km",Diesel,1st Owner,"₹18,25,000"
New Delhi,2018,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"34,051 km",Petrol,1st Owner,"₹11,75,000"
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"46,480 km",Diesel,1st Owner,"₹6,60,000"
New Delhi,2018,Mahindra,Scorpio S11,Manual,"43,333 km",Diesel,1st Owner,"₹15,50,000"
New Delhi,2017,Mahindra,Scorpio S10,Manual,"52,394 km",Diesel,1st Owner,"₹13,04,000"
New Delhi,2015,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"63,968 km",Diesel,1st Owner,"₹5,20,000"
New Delhi,2018,Ford,Ecosport 1.5 AMBIENTE TDCI,Manual,"36,938 km",Diesel,1st Owner,"₹7,87,000"
New Delhi,2014,Mahindra,Scorpio VLX BS IV,Manual,"86,032 km",Diesel,3rd Owner,"₹5,10,000"
New Delhi,2018,Maruti,Vitara Brezza ZDI AMT,Automatic,"63,514 km",Diesel,1st Owner,"₹8,36,000"
New Delhi,2019,Maruti,Ertiga ZXI SMART HYBRID AT,Automatic,"18,250 km",Petrol,1st Owner,"₹10,75,000"
New Delhi,2020,Maruti,Vitara Brezza ZXI,Manual,"2,580 km",Petrol,1st Owner,"₹9,52,000"
New Delhi,2019,Maruti,XL6 ALPHA AT SHVS,,"13,552 km",Petrol,1st Owner,"₹10,83,430"
New Delhi,2019,Mahindra,Scorpio S5 2WD,Manual,"36,626 km",Diesel,1st Owner,"₹11,41,000"
New Delhi,2013,Tata,Safari Storme 2.2 LX 4X2,Manual,"87,317 km",Diesel,2nd Owner,"₹3,50,000"
New Delhi,2013,Ford,Ecosport 1.5TITANIUM TDCI,Manual,"59,984 km",Diesel,1st Owner,"₹4,15,000"
New Delhi,2017,Maruti,Vitara Brezza ZDI PLUS DUAL TONE,Manual,"19,776 km",Diesel,1st Owner,"₹8,25,000"
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"50,363 km",Diesel,1st Owner,"₹7,25,000"
New Delhi,2016,Ford,Ecosport 1.5AMBIENTE TI VCT,Manual,"30,486 km",Petrol,1st Owner,"₹6,02,000"
New Delhi,2017,Toyota,Innova Crysta 2.4 ZX 7 STR,Manual,"30,187 km",Diesel,1st Owner,"₹18,25,000"
New Delhi,2018,Hyundai,Creta 1.6 SX PLUS PETROL,Manual,"34,051 km",Petrol,1st Owner,"₹11,75,000"
New Delhi,2017,Maruti,Vitara Brezza LDI OPT,Manual,"46,480 km",Diesel,1st Owner,"₹6,60,000"
New Delhi,2018,Mahindra,Scorpio S11,Manual,"43,333 km",Diesel,1st Owner,"₹15,50,000"
